"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"38","7625","17","11","11","2","708","0","0","0","0","0","0","0","0","0","445","0","0","0","0","0","0","0","0","0","0","0","0","233","0","98","0","230","0","0","114","0","16","291","1","1","1","124","71","267","96","251","211","181","111","246","42","289","72","318","118","223","76","263","149","244","148","181","230","0","110","0","216","105","213","117"
"38","7626","17","11","11","2","626","0","0","0","0","0","0","0","0","0","495","0","0","0","0","0","0","0","0","0","0","0","0","367","0","89","0","344","0","0","111","0","6","376","7","2","5","90","125","329","163","289","276","172","189","247","104","343","99","355","80","381","103","355","192","261","180","269","353","0","104","0","358","95","365","91"
"38","7627","17","11","11","2","800","0","0","0","0","0","0","0","0","0","608","0","0","0","0","0","0","0","0","0","0","0","0","474","0","76","0","462","0","0","102","0","10","503","10","3","4","71","143","421","169","400","319","246","252","293","115","436","168","402","51","530","105","461","191","369","188","362","468","0","90","0","482","80","485","87"
"38","7628","17","11","11","2","711","0","0","0","0","0","0","0","0","0","572","0","0","0","0","0","0","0","0","0","0","0","0","453","0","68","0","440","0","0","87","0","7","462","14","2","7","67","95","435","131","401","263","266","247","260","106","420","187","349","75","470","66","464","129","404","157","366","441","0","85","0","447","74","454","73"
"38","7629","17","11","11","2","1220","0","0","0","0","0","0","0","0","0","963","0","0","0","0","0","0","0","0","0","0","0","0","740","0","117","0","697","0","0","196","0","10","778","23","7","6","117","191","694","265","612","506","361","354","473","164","692","244","645","108","794","123","766","292","579","281","583","699","0","169","0","724","150","738","148"
"38","7631","17","11","11","2","1068","0","0","0","0","0","0","0","0","0","917","0","0","0","0","0","0","0","0","0","0","0","0","659","0","179","0","656","0","0","204","0","14","719","21","2","6","137","232","553","294","493","534","237","323","429","214","548","189","590","100","707","163","626","339","446","280","482","645","0","205","0","686","159","691","165"
"38","7632","17","11","11","2","1029","0","0","0","0","0","0","0","0","0","737","0","0","0","0","0","0","0","0","0","0","0","0","524","0","119","0","526","0","0","138","0","5","554","8","4","7","133","145","522","165","507","304","361","256","380","118","543","199","476","114","551","117","551","188","474","212","429","529","0","126","0","536","126","536","128"
"38","7633","17","11","11","2","776","0","0","0","0","0","0","0","0","0","625","0","0","0","0","0","0","0","0","0","0","0","0","458","0","103","0","468","0","0","110","0","4","514","7","3","3","76","128","462","180","402","385","203","276","289","134","441","175","409","54","535","107","490","219","370","192","385","466","0","106","0","486","91","493","90"
"38","7634","17","11","11","2","999","0","0","0","0","0","0","0","0","0","827","0","0","0","0","0","0","0","0","0","0","0","0","644","0","114","0","634","0","0","138","0","7","698","15","2","2","90","179","588","256","502","483","267","347","391","176","576","201","565","79","712","146","632","317","444","253","496","630","0","132","0","667","108","676","106"
"38","7635","17","11","11","2","1174","0","0","0","0","0","0","0","0","0","947","0","0","0","0","0","0","0","0","0","0","0","0","667","0","204","0","663","0","0","220","0","4","744","10","4","3","154","261","601","334","531","609","259","397","435","217","630","195","676","126","753","216","652","400","460","347","502","655","0","218","0","695","193","698","193"
"38","7636","17","11","11","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***","***"
"38","7637","17","11","11","2","894","0","0","0","0","0","0","0","0","0","704","0","0","0","0","0","0","0","0","0","0","0","0","490","0","134","0","492","0","0","158","0","7","539","7","5","5","128","208","431","277","366","432","198","267","334","188","431","143","494","99","557","168","469","290","352","274","354","483","0","160","0","495","149","500","148"
